encoded,original
alcoholic_beverages__644c0fd9,Alcoholic beverages_YoY
beer_purchased_from__ab46fc60,Beer purchased from stores_MoM
beer_purchased_from__7af38a30,Beer purchased from stores_YoY
liquor_purchased_fro_c9fd7cc7,Liquor purchased from stores_MoM
liquor_purchased_fro_61e9d648,Liquor purchased from stores_YoY
tobacco_products_and_2d7a26bf,Tobacco products and smokers' supplies_MoM
tobacco_products_and_1d46d355,Tobacco products and smokers' supplies_YoY
cigarettes_mom_7011fe2e,Cigarettes_MoM
cigarettes_yoy_4074db1a,Cigarettes_YoY
all_items_excluding__a197ea95,All-items excluding food_MoM
all_items_excluding__7a818989,All-items excluding food_YoY
housing__1986_defini_d6a57c60,Housing (1986 definition)_MoM
housing__1986_defini_0bdb859a,Housing (1986 definition)_YoY
food_purchased_from__10845087,Food purchased from stores_MoM
food_purchased_from__d92e157a,Food purchased from stores_YoY
other_fresh_or_froze_8804cce2,Other fresh or frozen poultry_MoM
other_fresh_or_froze_44613259,Other fresh or frozen poultry_YoY
eggs_mom_8a71266e,Eggs_MoM
